"","X.1","X","sg_d_bg","sg_d_nd","lat","lon","nght_fl","landcvr","cn_mean","cn_max","h_can","cn_med","cn_h_25","cn_h_50","cn_h_60","cn_h_70","cn_h_75","cn_h_80","cn_h_85","cn_h_90","cn_h_95","cn_open","toc_rgh","cn_unc","cn_pho","toc_pho","cn_flag","sb_cn_1","sb_cn_2","sb_cn_3","sb_cn_4","sb_cn_5","ls_flag","beam","filenam","year","month","day","hhmmss","RH_100_ALS","RH_99_ALS","RH_98_ALS","RH_95_ALS","RH_75_ALS","RH_50_ALS","RH_25_ALS","ALS_all_grid","ALS_abvg_grid"
"1",0,20911,362799,362803,65.230842590332,-147.358276367188,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,6,0,1,0,0,1,1,0,0,"1l","ATL08_20181212221423_11500103_003_01.h5",2018,12,12,221423,8.05,2.64579999999999,2.05,1.28299999999999,0,0,0,1.45596529284165,1.47481318681319
"2",9,29464,638955,638959,65.2332153320312,-147.43017578125,1,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,54,0,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5",2018,12,26,100839,7.37,4.8421,3.9926,2.37,0,0,0,2.00295833333333,2.09460755813953
"3",99,29554,639405,639409,65.1529235839844,-147.451614379883,1,7,1.00629866123199,5.54034423828125,5.54034423828125,0.76116943359375,0.639739990234375,0.76116943359375,0.801239013671875,1.10870361328125,1.1766357421875,1.18853759765625,1.26437377929688,1.50375366210938,1.89962768554688,0.789725780487061,0,3.86429309844971,42,1,1,1,1,1,1,1,0,"1l","ATL08_20181226100839_13560105_003_01.h5",2018,12,26,100839,19.44,14.6963,14.1242,13.1,5.5625,0.51,0,5.27909445745511,5.36713492063492
"4",999,384562,362791,362795,65.2280807495117,-147.386306762695,0,10,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,6,0,1,1,1,0,0,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,10.58,2.7076,2.08,1.13,0,0,0,1.62494011976048,1.63448795180723
"5",1000,384563,362796,362800,65.2289733886719,-147.38655090332,0,10,3.36590719223022,9.88629150390625,9.88629150390625,2.5140380859375,1.841064453125,2.5050048828125,3.07354736328125,3.2147216796875,4.17437744140625,4.96746826171875,5.589599609375,7.17034912109375,9.53912353515625,2.36249351501465,0.06658935546875,36.1564445495605,40,2,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,13.87,10.9681,9.8732,7.85,3.37,1.56,0,3.96614951768489,3.99150485436893
"6",1001,384564,362801,362805,65.229866027832,-147.386795043945,0,8,5.959228515625,25.3927612304688,18.2640991210938,4.96231079101562,2.97607421875,4.928955078125,5.57568359375,7.02923583984375,7.2532958984375,7.83660888671875,10.2118530273438,11.8629150390625,17.1067504882812,4.5827112197876,0,124.162948608398,71,1,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,13.7,11.06,10.2158,8.73,4.01,2.73,0.42,4.79070720423001,4.80641909814324
"7",1002,384565,362806,362810,65.2307586669922,-147.38703918457,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,43,0,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,13.78,10.718,9.556,7.79,3.68,2.67,1.46,4.37942307692308,4.38514608233732
"8",1003,384566,362811,362815,65.2316513061523,-147.387283325195,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,43,0,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,12.56,8.86,8.07,6.8775,3.24,0.58,0,4.16113924050633,4.19631489361702
"9",1004,384567,362816,362820,65.2325439453125,-147.38752746582,0,8,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,3.40282346638529e+23,41,0,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,10.25,7.77,7.0784,5.91,2.47,0,0,3.82595995288575,3.87595465393795
"10",1005,384568,362821,362825,65.2334365844727,-147.387756347656,0,8,5.38629007339478,21.4208984375,19.2282104492188,4.63272094726562,2.2276611328125,4.4105224609375,5.58917236328125,6.4296875,6.6556396484375,6.98284912109375,8.5196533203125,9.1453857421875,18.9353637695312,4.49138784408569,1.09634399414062,30.3000602722168,48,2,1,1,1,1,1,1,0,"1r","ATL08_20190612133358_11500303_003_01.h5",2019,6,12,133358,7.41,5.6034,4.5968,2.96849999999999,0,0,0,2.298391959799,2.35267581475129
