group_code,group
100,White/Red/Jack Pine Group
120,Spruce/Fir Group
140,Longleaf/Slash Pine Group
160,Loblolly/Shortleaf Pine Group
180,Pinyon/Juniper Group
200,Douglas-fir Group
220,Ponderosa Pine Group
240,Western White Pine Group
260,Fir/Spruce/Mountain Hemlock Group
280,Lodgepole Pine Group
300,Hemlock/Sitka Spruce Group
320,Western Larch Group
340,Redwood Group
360,Other Western Softwood Group
370,California Mixed Conifer Group
380,Exotic Softwoods Group
400,Oak/Pine Group
500,Oak/Hickory Group
600,Oak/Gum/Cypress Group
700,Elm/Ash/Cottonwood Group
800,Maple/Beech/Birch Group
900,Aspen/Birch Group
910,Alder/Maple Group
920,Western Oak Group
940,Tanoak/Laurel Group
950,Other Western Hardwoods Group
980,Tropical Hardwoods Group
990,Exotic Hardwoods Group
